id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
BOBR152,BOBR,2020-05-31 00:00:00,2020.4153005,152,-1391662.82208,5971556.57380,1750910.61623,47,940888.5609,1777625.3054,16.038931291500,103.118548957003,151.3293,179.7476
BOBR153,BOBR,2020-06-01 00:00:00,2020.4180328,153,-1391662.82003,5971556.58014,1750910.62021,47,940888.5574,1777625.3076,16.038931311750,103.118548924919,151.3358,179.7542
BOBR154,BOBR,2020-06-02 00:00:00,2020.4207650,154,-1391662.82518,5971556.59284,1750910.62155,47,940888.5596,1777625.3052,16.038931289628,103.118548944877,151.3492,179.7676
BOBR155,BOBR,2020-06-03 00:00:00,2020.4234973,155,-1391662.82548,5971556.59553,1750910.62376,47,940888.5592,1777625.3066,16.038931302126,103.118548941877,151.3524,179.7707
BOBR156,BOBR,2020-06-04 00:00:00,2020.4262295,156,-1391662.82452,5971556.58383,1750910.62187,47,940888.5609,1777625.3080,16.038931314652,103.118548957968,151.3407,179.7591
BOBR157,BOBR,2020-06-05 00:00:00,2020.4289617,157,-1391662.82529,5971556.58997,1750910.62304,47,940888.5603,1777625.3074,16.038931309444,103.118548951953,151.3470,179.7653
BOBR158,BOBR,2020-06-06 00:00:00,2020.4316940,158,-1391662.82297,5971556.58449,1750910.62143,47,940888.5593,1777625.3075,16.038931310122,103.118548942424,151.3409,179.7592
BOBR159,BOBR,2020-06-07 00:00:00,2020.4344262,159,-1391662.82260,5971556.57918,1750910.62053,47,940888.5601,1777625.3081,16.038931315445,103.118548950349,151.3356,179.7539
BOBR160,BOBR,2020-06-08 00:00:00,2020.4371585,160,-1391662.82290,5971556.58852,1750910.62236,47,940888.5583,1777625.3072,16.038931308444,103.118548933242,151.3449,179.7632
BOBR161,BOBR,2020-06-09 00:00:00,2020.4398907,161,-1391662.82227,5971556.57968,1750910.61865,47,940888.5597,1777625.3061,16.038931298112,103.118548946273,151.3355,179.7538
BOBR162,BOBR,2020-06-10 00:00:00,2020.4426230,162,-1391662.82389,5971556.58568,1750910.62117,47,940888.5599,1777625.3068,16.038931304453,103.118548948307,151.3421,179.7605
BOBR163,BOBR,2020-06-11 00:00:00,2020.4453552,163,-1391662.82231,5971556.59169,1750910.62179,47,940888.5570,1777625.3059,16.038931296152,103.118548921189,151.3476,179.7659
BOBR164,BOBR,2020-06-12 00:00:00,2020.4480874,164,-1391662.83016,5971556.60056,1750910.62195,47,940888.5627,1777625.3032,16.038931271466,103.118548973813,151.3577,179.7760
BOBR165,BOBR,2020-06-13 00:00:00,2020.4508197,165,-1391662.82078,5971556.58738,1750910.62341,47,940888.5564,1777625.3087,16.038931321524,103.118548916336,151.3437,179.7620
BOBR166,BOBR,2020-06-14 00:00:00,2020.4535519,166,-1391662.82241,5971556.58340,1750910.62187,47,940888.5590,1777625.3082,16.038931316873,103.118548939678,151.3399,179.7582
BOBR167,BOBR,2020-06-15 00:00:00,2020.4562842,167,-1391662.82597,5971556.58129,1750910.61889,47,940888.5630,1777625.3058,16.038931294182,103.118548976481,151.3379,179.7562
BOBR168,BOBR,2020-06-16 00:00:00,2020.4590164,168,-1391662.82523,5971556.58202,1750910.61791,47,940888.5621,1777625.3046,16.038931284314,103.118548968275,151.3381,179.7564
BOBR169,BOBR,2020-06-17 00:00:00,2020.4617486,169,-1391662.82832,5971556.59439,1750910.62261,47,940888.5623,1777625.3056,16.038931293241,103.118548970117,151.3517,179.7700
BOBR170,BOBR,2020-06-18 00:00:00,2020.4644809,170,-1391662.82714,5971556.58153,1750910.61863,47,940888.5641,1777625.3054,16.038931290685,103.118548986681,151.3383,179.7566
BOBR171,BOBR,2020-06-19 00:00:00,2020.4672131,171,-1391662.82400,5971556.58829,1750910.62174,47,940888.5594,1777625.3067,16.038931302979,103.118548943736,151.3448,179.7631
BOBR172,BOBR,2020-06-20 00:00:00,2020.4699454,172,-1391662.82590,5971556.58260,1750910.61705,47,940888.5626,1777625.3036,16.038931275006,103.118548973087,151.3386,179.7569
BOBR173,BOBR,2020-06-21 00:00:00,2020.4726776,173,-1391662.83149,5971556.60104,1750910.62497,47,940888.5639,1777625.3060,16.038931295818,103.118548984913,151.3592,179.7775
BOBR174,BOBR,2020-06-22 00:00:00,2020.4754098,174,-1391662.82408,5971556.57715,1750910.61738,47,940888.5621,1777625.3055,16.038931292187,103.118548968106,151.3332,179.7515
BOBR175,BOBR,2020-06-23 00:00:00,2020.4781421,175,-1391662.82136,5971556.57184,1750910.61266,47,940888.5607,1777625.3025,16.038931265624,103.118548954599,151.3263,179.7446
BOBR176,BOBR,2020-06-24 00:00:00,2020.4808743,176,-1391662.82286,5971556.58624,1750910.62073,47,940888.5588,1777625.3063,16.038931299893,103.118548937720,151.3423,179.7606
BOBR177,BOBR,2020-06-25 00:00:00,2020.4836066,177,-1391662.82778,5971556.59828,1750910.62609,47,940888.5608,1777625.3079,16.038931314324,103.118548956943,151.3561,179.7745
BOBR178,BOBR,2020-06-26 00:00:00,2020.4863388,178,-1391662.82675,5971556.57455,1750910.61445,47,940888.5653,1777625.3033,16.038931271567,103.118548997900,151.3305,179.7488
BOBR179,BOBR,2020-06-27 00:00:00,2020.4890710,179,-1391662.82120,5971556.57129,1750910.61575,47,940888.5606,1777625.3057,16.038931293921,103.118548954334,151.3266,179.7449
BOBR180,BOBR,2020-06-28 00:00:00,2020.4918033,180,-1391662.82628,5971556.57525,1750910.61502,47,940888.5647,1777625.3037,16.038931275053,103.118548992174,151.3312,179.7495
BOBR181,BOBR,2020-06-29 00:00:00,2020.4945355,181,-1391662.82019,5971556.58322,1750910.61741,47,940888.5569,1777625.3040,16.038931279839,103.118548919832,151.3380,179.7563
BOBR182,BOBR,2020-06-30 00:00:00,2020.4972678,182,-1391662.82564,5971556.58813,1750910.61751,47,940888.5611,1777625.3026,16.038931265719,103.118548958978,151.3438,179.7621
BOBR183,BOBR,2020-07-01 00:00:00,2020.5000000,183,-1391662.82669,5971556.57357,1750910.61775,47,940888.5654,1777625.3067,16.038931302651,103.118548999503,151.3305,179.7488
BOBR184,BOBR,2020-07-02 00:00:00,2020.5027322,184,-1391662.83066,5971556.58700,1750910.61848,47,940888.5663,1777625.3036,16.038931274003,103.118549007136,151.3441,179.7624
BOBR185,BOBR,2020-07-03 00:00:00,2020.5054645,185,-1391662.82698,5971556.58161,1750910.61969,47,940888.5639,1777625.3064,16.038931299749,103.118548985075,151.3386,179.7569
BOBR186,BOBR,2020-07-04 00:00:00,2020.5081967,186,-1391662.82508,5971556.58069,1750910.61705,47,940888.5623,1777625.3042,16.038931280163,103.118548969706,151.3366,179.7549
BOBR187,BOBR,2020-07-05 00:00:00,2020.5109290,187,-1391662.82702,5971556.58099,1750910.61954,47,940888.5640,1777625.3064,16.038931299902,103.118548986753,151.3380,179.7563
BOBR188,BOBR,2020-07-06 00:00:00,2020.5136612,188,-1391662.82744,5971556.57935,1750910.61631,47,940888.5649,1777625.3037,16.038931275622,103.118548994005,151.3357,179.7540
